order_id,material_cost
O0001,3487.17
O0002,5226.88
O0003,4368.22
O0004,4145.78
O0005,4938.27
O0006,4911.70
O0007,4089.38
O0008,3750.89
O0009,3871.31
O0010,4857.30
O0011,4574.01
O0012,5562.17
O0013,6456.95
O0014,3746.79
O0015,3984.18
O0016,6693.73
O0017,5063.81
O0018,6858.89
O0019,4769.83
O0020,3553.34
O0021,3833.63
O0022,3261.21
O0023,2224.69
O0024,2606.38
O0025,2962.73
O0026,2101.62
O0027,2444.53
O0028,3001.79
O0029,3432.12
O0030,3880.97
O0031,2988.92
O0032,4675.40
O0033,3377.17
O0034,4830.50
O0035,4655.93
O0036,5088.19
O0037,5322.25
O0038,3207.39
O0039,2947.68
O0040,3836.85
O0041,4473.68
O0042,6158.12
O0043,3557.75
O0044,4384.01
O0045,3636.20
O0046,4398.15
O0047,3959.55
O0048,4386.41
O0049,3688.64
O0050,3761.05
O0051,3866.93
O0052,5974.40
O0053,3855.35
O0054,3767.56
O0055,4798.80
O0056,4010.46
O0057,4032.05
O0058,6934.61
O0059,5429.56
O0060,5165.27
O0061,3484.69
O0062,4030.90
O0063,2364.37
O0064,3250.89
O0065,3197.94
O0066,3689.44
O0067,2353.89
O0068,3656.49
O0069,2313.96
O0070,3713.82
O0071,3253.27
O0072,3698.76
O0073,4370.72
O0074,3194.35
O0075,2836.16
O0076,5008.68
O0077,4093.41
O0078,4810.81
O0079,2886.74
O0080,3332.33
O0081,4756.54
O0082,5325.74
O0083,3630.21
O0084,5611.21
O0085,4030.10
O0086,4825.60
O0087,4533.81
O0088,4430.23
O0089,5434.30
O0090,4170.33
O0091,6475.70
O0092,7150.63
O0093,4486.99
O0094,6602.79
O0095,4280.23
O0096,6188.82
O0097,5007.58
O0098,3544.91
O0099,4017.84
O0100,5296.29
O0101,2304.92
O0102,3844.90
O0103,2913.46
O0104,2491.45
O0105,3238.09
O0106,3675.46
O0107,2652.30
O0108,3409.43
O0109,2632.47
O0110,3499.66
O0111,5326.37
O0112,4191.32
O0113,3498.33
O0114,3593.31
O0115,4243.30
O0116,4335.12
O0117,3828.38
O0118,3756.40
O0119,3415.61
O0120,4186.84
O0121,5158.82
O0122,5434.80
O0123,3436.95
O0124,5134.92
O0125,5562.21
O0126,4730.88
O0127,5816.16
O0128,4654.22
O0129,5278.73
O0130,5391.27
O0131,5567.24
O0132,4348.31
O0133,3973.28
O0134,4332.75
O0135,4839.65
O0136,6641.87
O0137,6109.66
O0138,4593.20
O0139,5252.97
O0140,6646.47
O0141,2158.89
O0142,3743.57
O0143,3386.39
O0144,2254.81
O0145,2420.87
O0146,2899.04
O0147,3960.66
O0148,2206.15
O0149,2427.64
O0150,3863.13
O0151,4263.28
O0152,4108.86
O0153,3845.39
O0154,3281.33
O0155,4597.13
O0156,5217.00
O0157,4570.68
O0158,5069.71
O0159,4929.57
O0160,3863.98
O0161,3205.38
O0162,6107.86
O0163,3475.98
O0164,4169.58
O0165,4770.82
O0166,5948.58
O0167,4678.20
O0168,4005.78
O0169,4519.79
O0170,5925.77
O0171,5207.14
O0172,5564.30
O0173,6064.00
O0174,4590.08
O0175,4998.27
O0176,5447.01
O0177,4309.65
O0178,6626.89
O0179,4436.34
O0180,5306.94
O0181,2707.35
O0182,3124.94
O0183,2935.77
O0184,3319.55
O0185,3049.95
O0186,4020.11
O0187,3184.43
O0188,2497.26
O0189,2507.74
O0190,3535.91
O0191,4234.81
O0192,4067.18
O0193,5102.32
O0194,2965.99
O0195,2859.34
O0196,2865.86
O0197,4162.76
O0198,4990.91
O0199,4002.23
O0200,3374.99
O0201,4296.10
O0202,4508.70
O0203,6004.41
O0204,5280.84
O0205,3737.74
O0206,5837.25
O0207,5035.54
O0208,3767.08
O0209,3822.42
O0210,6054.42
O0211,6356.56
O0212,5575.77
O0213,5593.72
O0214,4322.92
O0215,7284.05
O0216,3957.40
O0217,6112.03
O0218,4076.44
O0219,4465.53
O0220,6001.73
O0221,2564.35
O0222,4180.32
O0223,3637.30
O0224,3153.47
O0225,3153.67
O0226,2320.73
O0227,3225.50
O0228,2284.25
O0229,4188.28
O0230,3091.96
O0231,3993.47
O0232,3472.02
O0233,3129.49
O0234,4187.09
O0235,5475.89
O0236,5304.69
O0237,4077.00
O0238,3463.65
O0239,4423.60
O0240,3705.41
O0241,5722.39
O0242,5897.91
O0243,3550.12
O0244,5438.47
O0245,5049.64
O0246,5558.08
O0247,4297.62
O0248,5169.46
O0249,4997.43
O0250,5669.54
O0251,5516.00
O0252,7081.28
O0253,7558.01
O0254,5069.36
O0255,7614.35
O0256,5833.33
O0257,4068.88
O0258,5906.35
O0259,7183.32
O0260,4998.76
O0261,2549.89
O0262,3768.59
O0263,2471.76
O0264,3154.82
O0265,3958.86
O0266,2511.23
O0267,3132.69
O0268,3880.95
O0269,4161.60
O0270,2686.54
O0271,4657.31
O0272,4076.85
O0273,3203.96
O0274,4703.15
O0275,4709.95
O0276,4699.27
O0277,4600.85
O0278,3809.45
O0279,5266.67
O0280,3276.65
O0281,5434.63
O0282,3732.46
O0283,5493.85
O0284,4389.75
O0285,4714.53
O0286,6115.44
O0287,6626.86
O0288,5412.22
O0289,3383.58
O0290,4690.01
O0291,6155.59
O0292,4617.15
O0293,7786.90
O0294,4559.40
O0295,5308.18
O0296,4159.93
O0297,3970.25
O0298,5306.88
O0299,6184.44
O0300,5624.20
O0301,4508.06
O0302,3449.97
O0303,2760.93
O0304,3569.92
O0305,3313.25
O0306,3651.09
O0307,3945.53
O0308,4012.49
O0309,2917.91
O0310,2959.70
O0311,3305.99
O0312,4876.81
O0313,4586.79
O0314,4298.17
O0315,5473.60
O0316,3588.28
O0317,4542.19
O0318,4211.74
O0319,5398.73
O0320,4759.63
O0321,6465.53
O0322,4342.49
O0323,3555.67
O0324,3690.76
O0325,5377.63
O0326,3724.25
O0327,4762.67
O0328,5264.67
O0329,5346.61
O0330,4013.71
O0331,5013.39
O0332,4769.16
O0333,3802.96
O0334,6370.63
O0335,6203.31
O0336,4739.12
O0337,4363.94
O0338,5163.33
O0339,6086.12
O0340,5677.13
O0341,3726.67
O0342,2995.38
O0343,3307.82
O0344,2849.07
O0345,2519.00
O0346,3205.80
O0347,2623.13
O0348,2694.20
O0349,3868.37
O0350,3566.11
O0351,4815.00
O0352,3828.38
O0353,3699.67
O0354,3188.20
O0355,4933.72
O0356,3294.89
O0357,4702.22
O0358,5528.71
O0359,4074.73
O0360,5463.22
O0361,4697.20
O0362,6446.48
O0363,4387.04
O0364,5108.50
O0365,3378.02
O0366,4376.97
O0367,5914.87
O0368,6023.58
O0369,4654.36
O0370,5208.90
O0371,6617.63
O0372,6743.85
O0373,5112.23
O0374,5347.74
O0375,4348.47
O0376,6998.73
O0377,6630.98
O0378,5008.75
O0379,6515.39
O0380,5531.59
O0381,3709.15
O0382,3321.26
O0383,3998.63
O0384,4329.98
O0385,3312.17
O0386,3761.97
O0387,3243.21
O0388,4276.13
O0389,2619.53
O0390,3427.21
O0391,5809.88
O0392,4243.10
O0393,3556.25
O0394,5026.96
O0395,5531.35
O0396,4935.23
O0397,2960.78
O0398,5052.88
O0399,3484.42
O0400,5182.26
O0401,5000.04
O0402,3956.88
O0403,4565.77
O0404,3949.81
O0405,5325.85
O0406,4614.91
O0407,3912.35
O0408,4269.66
O0409,5561.43
O0410,4568.63
O0411,5805.25
O0412,4601.23
O0413,4691.37
O0414,4965.57
O0415,5709.58
O0416,5268.82
O0417,4881.51
O0418,5363.29
O0419,7466.12
O0420,6602.51
O0421,2534.17
O0422,2776.24
O0423,3020.24
O0424,3239.06
O0425,3297.32
O0426,4054.54
O0427,3535.31
O0428,2672.51
O0429,2495.28
O0430,3167.00
O0431,4236.12
O0432,4682.01
O0433,4103.65
O0434,4380.20
O0435,5375.75
O0436,4099.02
O0437,3231.12
O0438,4043.77
O0439,5949.08
O0440,4837.01
O0441,5850.16
O0442,4773.41
O0443,4200.53
O0444,4823.76
O0445,5831.30
O0446,5733.52
O0447,4971.81
O0448,5000.08
O0449,6102.19
O0450,6421.31
O0451,7052.74
O0452,5348.32
O0453,5713.06
O0454,6369.08
O0455,5873.48
O0456,7055.78
O0457,7116.07
O0458,6525.38
O0459,6579.16
O0460,5642.33
O0461,3588.98
O0462,4177.23
O0463,3627.71
O0464,2833.06
O0465,3252.26
O0466,2583.40
O0467,2710.22
O0468,2482.31
O0469,3465.38
O0470,3086.61
O0471,3809.07
O0472,3689.93
O0473,4217.62
O0474,3242.85
O0475,4830.86
O0476,4553.57
O0477,3950.44
O0478,3677.64
O0479,4397.54
O0480,4729.25
O0481,4383.82
O0482,4917.87
O0483,2956.17
O0484,4341.08
O0485,3664.76
O0486,6000.58
O0487,4467.83
O0488,4068.71
O0489,3321.51
O0490,5203.74
O0491,4501.18
O0492,5576.47
O0493,5399.60
O0494,4130.07
O0495,5530.93
O0496,4147.90
O0497,5486.08
O0498,3549.64
O0499,6726.62
O0500,4353.32
O0501,3531.56
O0502,3437.96
O0503,2527.72
O0504,3635.80
O0505,2616.85
O0506,3329.21
O0507,2991.35
O0508,3349.32
O0509,3344.99
O0510,3338.11
O0511,5196.90
O0512,4400.18
O0513,4138.48
O0514,3544.86
O0515,2774.98
O0516,4601.74
O0517,3456.18
O0518,3002.33
O0519,4199.79
O0520,4961.93
O0521,6082.08
O0522,3750.05
O0523,5147.42
O0524,5554.27
O0525,4611.47
O0526,4355.78
O0527,3529.54
O0528,3060.97
O0529,4965.01
O0530,4185.35
O0531,5495.43
O0532,6146.41
O0533,6439.66
O0534,5258.90
O0535,3580.67
O0536,6179.05
O0537,4341.84
O0538,4587.73
O0539,4237.94
O0540,6224.81
O0541,3228.76
O0542,3375.30
O0543,3230.00
O0544,3899.41
O0545,2330.22
O0546,3507.47
O0547,3215.65
O0548,2922.72
O0549,3759.26
O0550,2023.91
O0551,3404.31
O0552,5373.09
O0553,3949.10
O0554,4341.08
O0555,4137.32
O0556,4591.54
O0557,4653.13
O0558,4236.72
O0559,4997.34
O0560,4157.88
O0561,4211.45
O0562,4889.22
O0563,5185.55
O0564,3498.28
O0565,5310.03
O0566,4104.50
O0567,5046.76
O0568,5626.39
O0569,5567.83
O0570,3622.07
O0571,4575.53
O0572,6748.82
O0573,3701.95
O0574,6047.71
O0575,4404.12
O0576,6233.64
O0577,4818.86
O0578,5169.49
O0579,4426.43
O0580,4068.27
O0581,2900.35
O0582,2588.62
O0583,2439.10
O0584,3688.57
O0585,3686.17
O0586,2637.27
O0587,2523.14
O0588,3091.91
O0589,3809.76
O0590,3185.42
O0591,3360.15
O0592,3065.64
O0593,4492.98
