order_id,date,customer_id,product_id,quantity,revenue
O0001,2025-01-04,C019,P018,25,9904.56
O0002,2025-01-07,C020,P019,9,14983.83
O0003,2025-01-10,C021,P020,7,13797.75
O0004,2025-01-13,C022,P021,12,13106.01
O0005,2025-01-16,C023,P022,25,14698.27
O0006,2025-01-19,C024,P023,13,15576.62
O0007,2025-01-22,C025,P024,27,12433.74
O0008,2025-01-25,C026,P025,29,11734.83
O0009,2025-01-04,C027,P026,32,11794.64
O0010,2025-01-07,C028,P027,19,13356.85
O0011,2025-01-04,C049,P019,22,13203.21
O0012,2025-01-07,C050,P020,16,15881.54
O0013,2025-01-10,C051,P021,12,17726.17
O0014,2025-01-13,C052,P022,32,11391.94
O0015,2025-01-16,C053,P023,16,11973.01
O0016,2025-01-19,C054,P024,27,19267.97
O0017,2025-01-22,C055,P025,10,15474.27
O0018,2025-01-25,C056,P026,13,19766.26
O0019,2025-01-04,C057,P027,26,13496.36
O0020,2025-01-07,C058,P028,31,10742.54
O0021,2025-01-04,C079,P020,11,11165.08
O0022,2025-01-07,C080,P021,11,9741.30
O0023,2025-01-10,C081,P022,19,6909.37
O0024,2025-01-13,C082,P023,22,7571.65
O0025,2025-01-16,C083,P024,17,8120.03
O0026,2025-01-19,C084,P025,20,6622.27
O0027,2025-01-22,C085,P026,25,7003.90
O0028,2025-01-25,C086,P027,17,8228.45
O0029,2025-01-04,C087,P028,22,10875.81
O0030,2025-01-07,C088,P029,26,11008.46
O0031,2025-01-04,C109,P021,15,8876.10
O0032,2025-01-07,C110,P022,35,13320.83
O0033,2025-01-10,C111,P023,29,9364.59
O0034,2025-01-13,C112,P024,14,14191.35
O0035,2025-01-16,C113,P025,16,13615.08
O0036,2025-01-19,C114,P026,21,14750.63
O0037,2025-01-22,C115,P027,8,14827.84
O0038,2025-01-25,C116,P028,14,9807.21
O0039,2025-01-04,C117,P029,7,8687.56
O0040,2025-01-07,C118,P030,29,11942.10
O0041,2025-02-05,C022,P020,35,13628.76
O0042,2025-02-08,C023,P021,18,17037.47
O0043,2025-02-11,C024,P022,27,10761.96
O0044,2025-02-14,C025,P023,25,12178.45
O0045,2025-02-17,C026,P024,12,10955.57
O0046,2025-02-20,C027,P025,12,13946.45
O0047,2025-02-23,C028,P026,6,10990.47
O0048,2025-02-26,C029,P027,7,13335.65
O0049,2025-02-05,C030,P028,22,10195.93
O0050,2025-02-08,C001,P029,20,11106.04
O0051,2025-02-05,C052,P021,8,11489.82
O0052,2025-02-08,C053,P022,19,18804.64
O0053,2025-02-11,C054,P023,25,11504.00
O0054,2025-02-14,C055,P024,32,11607.50
O0055,2025-02-17,C056,P025,9,14589.23
O0056,2025-02-20,C057,P026,34,11284.31
O0057,2025-02-23,C058,P027,8,11047.80
O0058,2025-02-26,C059,P028,7,19401.06
O0059,2025-02-05,C060,P029,20,15156.52
O0060,2025-02-08,C031,P030,10,14179.96
O0061,2025-02-05,C082,P022,30,10583.33
O0062,2025-02-08,C083,P023,28,11759.15
O0063,2025-02-11,C084,P024,9,7255.22
O0064,2025-02-14,C085,P025,28,9225.02
O0065,2025-02-17,C086,P026,23,8859.31
O0066,2025-02-20,C087,P027,6,11565.44
O0067,2025-02-23,C088,P028,24,6573.43
O0068,2025-02-26,C089,P029,35,11171.30
O0069,2025-02-05,C090,P030,24,6651.83
O0070,2025-02-08,C061,P001,15,11419.66
O0071,2025-02-05,C112,P023,12,10117.65
O0072,2025-02-08,C113,P024,19,10490.16
O0073,2025-02-11,C114,P025,19,12737.07
O0074,2025-02-14,C115,P026,22,9731.15
O0075,2025-02-17,C116,P027,33,8667.58
O0076,2025-02-20,C117,P028,19,14303.27
O0077,2025-02-23,C118,P029,30,12978.85
O0078,2025-02-26,C119,P030,14,15025.35
O0079,2025-02-05,C120,P001,13,9011.17
O0080,2025-02-08,C091,P002,13,10236.57
O0081,2025-03-06,C025,P022,26,14492.86
O0082,2025-03-09,C026,P023,33,16771.88
O0083,2025-03-12,C027,P024,31,11517.98
O0084,2025-03-15,C028,P025,25,17367.92
O0085,2025-03-18,C029,P026,27,12774.36
