order_id,shipping_cost
O0001,454.80
O0002,843.21
O0003,600.19
O0004,592.15
O0005,722.97
O0006,855.05
O0007,565.05
O0008,511.02
O0009,503.57
O0010,641.88
O0011,741.59
O0012,678.67
O0013,987.08
O0014,594.33
O0015,631.25
O0016,997.04
O0017,764.37
O0018,1006.32
O0019,578.93
O0020,497.21
O0021,597.18
O0022,551.68
O0023,372.55
O0024,426.78
O0025,359.01
O0026,289.75
O0027,361.00
O0028,415.26
O0029,582.20
O0030,597.73
O0031,437.23
O0032,766.62
O0033,523.75
O0034,641.20
O0035,741.45
O0036,734.84
O0037,820.08
O0038,500.93
O0039,374.50
O0040,627.63
O0041,762.65
O0042,921.46
O0043,623.36
O0044,599.47
O0045,563.26
O0046,743.70
O0047,612.76
O0048,663.67
O0049,521.39
O0050,538.79
O0051,560.44
O0052,986.40
O0053,545.62
O0054,587.11
O0055,671.06
O0056,628.48
O0057,611.79
O0058,866.47
O0059,855.42
O0060,655.73
O0061,562.46
O0062,629.05
O0063,311.51
O0064,395.89
O0065,447.38
O0066,520.13
O0067,318.55
O0068,575.46
O0069,339.53
O0070,610.48
O0071,529.44
O0072,452.76
O0073,555.33
O0074,554.02
O0075,403.56
O0076,740.72
O0077,714.79
O0078,842.17
O0079,458.23
O0080,486.09
O0081,721.98
O0082,874.63
O0083,625.86
O0084,852.23
O0085,551.90
O0086,637.17
O0087,619.30
O0088,705.04
O0089,767.85
O0090,680.83
O0091,820.70
O0092,1128.34
O0093,677.20
O0094,1013.30
O0095,588.37
O0096,1044.98
O0097,786.82
O0098,515.94
O0099,540.97
O0100,735.83
O0101,296.61
O0102,512.24
O0103,402.76
O0104,311.74
O0105,583.82
O0106,546.15
O0107,438.26
O0108,430.81
O0109,386.62
O0110,460.22
O0111,861.78
O0112,691.75
O0113,533.12
O0114,562.94
O0115,645.07
O0116,692.98
O0117,581.03
O0118,468.93
O0119,560.56
O0120,596.74
O0121,697.07
O0122,842.75
O0123,458.05
O0124,773.04
O0125,902.65
O0126,649.41
O0127,900.42
O0128,634.63
O0129,719.14
O0130,892.51
O0131,732.29
O0132,737.69
O0133,646.11
O0134,610.33
O0135,724.77
O0136,775.69
O0137,769.96
O0138,772.62
O0139,756.37
O0140,907.97
O0141,343.97
O0142,594.66
O0143,483.70
O0144,286.91
O0145,348.64
O0146,394.68
O0147,652.40
O0148,374.16
O0149,436.97
O0150,481.61
O0151,646.51
O0152,670.63
O0153,639.46
O0154,529.45
O0155,651.36
O0156,832.65
O0157,588.25
O0158,731.80
O0159,612.54
O0160,580.36
O0161,475.49
O0162,973.29
O0163,540.47
O0164,593.75
O0165,689.33
O0166,723.88
O0167,678.36
O0168,704.04
O0169,626.66
O0170,785.80
O0171,735.81
O0172,836.44
O0173,759.79
O0174,615.78
O0175,692.84
O0176,806.76
O0177,605.19
O0178,969.56
O0179,700.92
O0180,703.11
O0181,380.74
O0182,547.47
O0183,423.14
O0184,473.77
O0185,527.69
O0186,654.27
O0187,490.68
O0188,341.04
O0189,367.06
O0190,480.60
O0191,684.18
O0192,733.62
O0193,711.53
O0194,461.07
O0195,436.29
O0196,404.76
O0197,676.57
O0198,794.84
O0199,612.36
O0200,450.06
O0201,622.96
O0202,624.35
O0203,881.19
O0204,789.66
O0205,671.26
O0206,717.58
O0207,653.73
O0208,542.23
O0209,579.10
O0210,868.07
O0211,839.70
O0212,775.31
O0213,778.96
O0214,682.60
O0215,1061.18
O0216,603.17
O0217,783.60
O0218,694.17
O0219,635.37
O0220,766.59
O0221,398.12
O0222,535.06
O0223,495.47
O0224,459.21
O0225,437.84
O0226,396.12
O0227,446.97
O0228,360.22
O0229,547.50
O0230,505.40
O0231,543.00
O0232,578.72
O0233,473.41
O0234,628.24
O0235,686.44
O0236,697.57
O0237,589.05
O0238,555.65
O0239,577.10
O0240,548.90
O0241,806.39
O0242,880.28
O0243,581.19
O0244,703.84
O0245,704.71
O0246,958.84
O0247,586.24
O0248,651.89
O0249,791.66
O0250,869.00
O0251,892.82
O0252,903.78
O0253,970.44
O0254,859.45
O0255,930.46
O0256,982.29
O0257,551.64
O0258,911.68
O0259,1128.21
O0260,728.29
O0261,361.54
O0262,600.16
O0263,304.22
O0264,492.68
O0265,581.26
O0266,422.57
O0267,425.47
O0268,628.38
O0269,579.86
O0270,412.32
O0271,772.33
O0272,485.53
O0273,518.74
O0274,753.37
O0275,722.17
O0276,593.22
O0277,723.94
O0278,676.03
O0279,751.19
O0280,511.64
O0281,816.72
O0282,484.53
O0283,705.43
O0284,744.83
O0285,620.03
O0286,888.48
O0287,1009.01
O0288,803.90
O0289,589.86
O0290,798.91
O0291,791.45
O0292,539.21
O0293,1082.27
O0294,555.59
O0295,770.14
O0296,705.51
O0297,613.58
O0298,829.05
O0299,995.18
O0300,955.80
O0301,615.86
O0302,413.21
O0303,376.95
O0304,492.12
O0305,507.13
O0306,597.38
O0307,510.73
O0308,660.27
O0309,445.58
O0310,432.43
O0311,403.22
O0312,644.36
O0313,632.03
O0314,683.74
O0315,896.45
O0316,561.68
O0317,608.92
O0318,610.04
O0319,870.32
O0320,694.78
O0321,839.39
O0322,697.82
O0323,506.44
O0324,603.32
O0325,804.23
O0326,531.63
O0327,639.13
O0328,718.10
O0329,773.32
O0330,559.99
O0331,715.33
O0332,844.79
O0333,522.85
O0334,849.23
O0335,921.22
O0336,728.12
O0337,520.09
O0338,761.14
O0339,845.40
O0340,699.27
O0341,592.71
O0342,457.97
O0343,464.02
O0344,347.90
O0345,417.95
O0346,462.23
O0347,367.49
O0348,329.80
O0349,615.73
O0350,573.27
